"Country","ISO3","Specie","Breed/Most common name","Year","dna samples","dna donors total","dna donors males","dna donors females","embryos samples","embryos donors total","embryos donors males","embryos donors females","somatic cells samples","somatic cells donors total","somatic cells donors males","somatic cells donors females","semen samples","semen donors males","oocytes samples","oocytes donors females","sufficient","organisation","collected by","Geographical classification","Last update"
"Argentina","ARG","Cattle","Aberdeen Angus","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Argentina","ARG","Cattle","Belted Galloway","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Argentina","ARG","Cattle","Blonde d'Aquitaine","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Argentina","ARG","Cattle","Bonsmara","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Argentina","ARG","Cattle","Braford","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Argentina","ARG","Cattle","Brahman","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Argentina","ARG","Cattle","Brangus","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Argentina","ARG","Cattle","Charolais","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Argentina","ARG","Cattle","Chianina","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Argentina","ARG","Cattle","Criollo Agentino Patagonico","2018","","","","","","","","","","","","","240","19","","","","Facultad de Ciencias Agrarias Universidad Nacional de Lomas de Zamora","","Local",""
"Argentina","ARG","Cattle","Criollo Agentino Patagonico","2000","","","","","","","","","","","","","2150","19","","","","Facultad de Ciencias Agrarias Universidad Nacional de Lomas de Zamora","","Local",""
"Argentina","ARG","Cattle","Criollo Agentino Patagonico","2020","","","","","0","0","0","0","0","0","0","0","240","19","0","0","","Facultad de Ciencias Agrarias Universidad Nacional de Lomas de Zamora","","Local","16-Sept-2020"
"Argentina","ARG","Cattle","Criollo Chaqueño","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Argentina","ARG","Cattle","Ganado Criollo Argentino","2018","","","","","","","","","","","","","3000","40","","","","Estación Experimental Agropecuaria Balcarce INTA","","Local",""
"Argentina","ARG","Cattle","Ganado Criollo Argentino","2020","","","","","0","0","0","0","0","0","0","0","3000","40","0","0","","Estación Experimental Agropecuaria Balcarce INTA","","Local","16-Sept-2020"
"Argentina","ARG","Cattle","Ganado Criollo Argentino","2023","","","","","22","","","","","","","","3000","","","","","","","Local","28/12/2023"
"Argentina","ARG","Cattle","Guernsey","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
