"Country","ISO3","Specie","Breed/Most common name","Year","Population min","Population max","Trend","Population figured based on","Breeding male","Breeding female","Females registered in herdbooks","Females bred pure","Herds","Herds size (avg)","AI used","Male in AI","In situ conservation programmes in place","Reliability","Last update","Geographical classification"
"Angola","AGO","Cattle","Damara","1994","","100","unknown","","","","","","","","","","","unknown","28 Feb 2006","Regional"
"Angola","AGO","Cattle","Humbe","1990","1500000","1500000","increasing","","","","","","","","no","0","","reliable","28 Feb 2006","Local"
"Angola","AGO","Cattle","Kwaniama","1993","50000","50000","stable","","","","","95","","","no","0","","reliable","28 Feb 2006","Local"
"Angola","AGO","Cattle","Mocho de Quilengues","1993","20000","20000","stable","","","","","","","","no","0","","not reliable","28 Feb 2006","Local"
"Angola","AGO","Cattle","Mucubai","1994","250000","250000","increasing","","56000","162500","","","","","no","0","","reliable","28 Feb 2006","Local"
"Albania","ALB","Cattle","Albanian Prespa Cattle","2013","520","580","increasing","census at breed level","19","380","","85","46","3","","","yes","reliable","26 Apr 2014","Local"
"Albania","ALB","Cattle","Black and White","1992","156970","","increasing","","2970","154000","","43","","","yes","30","","unknown","28 Feb 2006","International"
"Albania","ALB","Cattle","Black and White","1994","65294","65294","unknown","","321","39645","","100","","","yes","","","unknown","28 Feb 2006","International"
"Albania","ALB","Cattle","Black and White","1996","73000","","decreasing","","3000","70000","","80","","","","","","unknown","28 Feb 2006","International"
"Albania","ALB","Cattle","Busha","2012","1100","1250","increasing","census at breed level","67","760","","90","175","3","","","","reliable","27 Apr 2014","Regional"
"Albania","ALB","Cattle","Jersey","1992","154975","","increasing","","2975","152000","","30","","","yes","25","","unknown","28 Feb 2006","International"
"Albania","ALB","Cattle","Jersey","1994","33377","33377","increasing","","183","20671","","100","","","yes","","","unknown","28 Feb 2006","International"
"Albania","ALB","Cattle","Jersey","1996","31500","","decreasing","","1500","30000","","80","","","","","","unknown","28 Feb 2006","International"
"Albania","ALB","Cattle","Oberinntal","1992","2265","","decreasing","","65","2200","","70","","","yes","5","","unknown","28 Feb 2006","Local"
"Albania","ALB","Cattle","Oberinntal","1994","1040","1040","stable","","20","470","","100","","","yes","","","unknown","28 Feb 2006","Local"
"Albania","ALB","Cattle","Oberinntal","1996","480","","decreasing","","30","450","","60","","","","","","unknown","28 Feb 2006","Local"
"Albania","ALB","Cattle","Oberinntal","2002","12282","12282","unknown","","","","","","","","","","","unknown","28 Feb 2006","Local"
"Albania","ALB","Cattle","Simmental","1994","500","500","stable","","","250","","100","","","yes","","","unknown","28 Feb 2006","International"
"Albania","ALB","Cattle","Simmental","2002","6900","6900","unknown","","","","","","","","","","","unknown","28 Feb 2006","International"
"Albania","ALB","Cattle","Tarentaise","1992","35","","increasing","","","35","25","100","","","yes","5","","unknown","28 Feb 2006","International"
"Albania","ALB","Cattle","Tarentaise","1994","40","40","increasing","","3","30","","100","","","","","","unknown","28 Feb 2006","International"
"Albania","ALB","Cattle","Tarentaise","1996","150","","increasing","","","150","150","100","","","","","","unknown","28 Feb 2006","International"
"Argentina","ARG","Cattle","Aberdeen Angus","2022","161431","163003","unknown","survey at species level","","","","","","","yes","","yes","","23/8/2022","International"
"Argentina","ARG","Cattle","Criollo Agentino Patagonico","2022","4500","5000","decreasing","survey at species level","","","","","","","yes","","yes","","23/8/2022","Local"
"Argentina","ARG","Cattle","Criollo Chaqueño","1994","5900","5900","increasing","","760","2900","","90","","","yes","40","","unknown","28 Feb 2006","Local"
"Argentina","ARG","Cattle","Ganado Criollo Argentino","2022","14707","15185","decreasing","survey at species level","","","","","","","yes","","yes","","23/8/2022","Local"
"Argentina","ARG","Cattle","Holando Argentino","2010","10000000","10000000","","survey at breed level","","","","","","","yes","","no","not reliable","25 Aug 2010","Local"
"Argentina","ARG","Cattle","Holando Argentino","2022","2239821","2245395","unknown","survey at species level","","","","","","","yes","","no","","23/8/2022","Local"
"Armenia","ARM","Cattle","Grey Caucasian","2003","428627","428627","unknown","","","","","","","","","","","unknown","28 Feb 2006","Local"
"Armenia","ARM","Cattle","Small Caucasian","2003","0","0","unknown","","","","","","","","","","","unknown","28 Feb 2006","Regional"
"Australia","AUS","Cattle","Africander","2022","0","0","","","","","","","","","","","","very reliable","28/10/2022","International"
"Australia","AUS","Cattle","Alexandria Composite","2022","10000","10000","","survey at species level","","","","","","","","","","not reliable","2/11/2022","Local"
"Australia","AUS","Cattle","Angus","1990","143520","143520","unknown","","","","","","","","","","","not reliable","5 Apr 2012","International"
"Australia","AUS","Cattle","Angus","1992","14854","14854","","","","","","","","","","","","","5 Apr 2012","International"
"Australia","AUS","Cattle","Angus","2005","30969","30969","unknown","","","","","","","","","","","unknown","5 Apr 2012","International"
"Australia","AUS","Cattle","Angus","2006","33826","33826","unknown","","","","","","","","","","","unknown","5 Apr 2012","International"
"Australia","AUS","Cattle","Angus","2007","33808","33808","unknown","","","","","","","","","","","unknown","5 Apr 2012","International"
"Australia","AUS","Cattle","Angus","2008","34687","34687","unknown","","","","","","","","","","","unknown","5 Apr 2012","International"
"Australia","AUS","Cattle","Angus","2009","33488","33488","unknown","","","","","","","","","","","unknown","5 Apr 2012","International"
"Australia","AUS","Cattle","Angus","2010","31595","31595","unknown","","","","","","","","","","","unknown","5 Apr 2012","International"
