Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other
Aberdeen Angus,Taurus,Scotland,Meat,Dairy,—,—
Abergele,—,Ethiopia,Meat,Dairy,Draught,—
Abigar,Taurus,Ethiopia,—,Dairy,—,—
Abondance,Taurus,France,Meat,Dairy,—,—
Abyssinian Shorthorned Zebu,Indicus,Ethiopia,—,—,Draught,—
Aceh,—,Indonesia,Meat,—,—,—
Achham,Indicus,Nepal,—,Dairy,—,—
Adamawa,Taurus,Nigeria,Meat,Dairy,Draught,—
Adaptaur,Taurus/Indicus hybrid,Australia,Meat,—,—,—
Afar,—,Ethiopia,Meat,Dairy,—,—
Africangus,Taurus/Indicus hybrid,South Africa,Meat,—,—,—
Afrikaner,Indicus,South Africa,Meat,—,—,—
Agerolese,Taurus,Italy,—,Dairy,—,—
Alambadi,Indicus,India,—,—,—,—
Alatau,Taurus,Kazakhstan,Meat,Dairy,—,—
Albanian,Taurus,Albania,—,Dairy,Draught,—
Albera,Taurus,"Spain, France",Meat,—,—,Semi-feral
Alderney,Taurus,Channel Islands,—,Dairy,—,—
Alentejana,Taurus,Portugal,Meat,—,Draught,—
Aleutian wild cattle,—,United States,—,—,—,Feral
Aliad Dinka,—,South Sudan,—,—,—,—
Alistana-Sanabresa,—,Spain,—,—,—,—
Allmogekor,Taurus,Sweden,Meat,—,Draught,—
Alur,—,Democratic Republic of the Congo,—,—,—,—
American,Taurus/Indicus hybrid,United States,Meat,—,—,—
American Angus,—,United States,—,—,—,—
American Beef Friesian,—,United States,—,—,—,—
American Brown Swiss,Taurus,United States,—,Dairy,—,—
American Milking Devon,Taurus,United States,Meat,Dairy,Draught,—
American White Park,Taurus,United States,Meat,Dairy,—,—
Amerifax,Taurus,United States,Meat,Dairy,—,—
Amrit Mahal,Indicus,India,—,—,—,Developed from Hallikar cattle for war purposes 
Amsterdam Island cattle,Taurus,Amsterdam Island,—,—,—,Feral
Anatolian Black,Taurus,Turkey,Meat,Dairy,Draught,—
Andalusian Black,Taurus,Spain,Meat,—,—,Endangered
Andalusian Blond,—,Spain,—,—,—,—
Andalusian Grey,—,Spain,—,—,—,—
Angeln,Taurus,Germany,—,Dairy,—,—
Angoni,—,Malawi,—,—,—,—
Ankina,—,United States,—,—,—,—
Ankole,—,East Africa,meat,dairy,—,—
Ankole-Watusi,Indicus,United States,,,,Show
Aracena,—,Spain,—,—,—,—
Arado,—,Ethiopia,Meat,Dairy,Draught,—
Argentine Criollo,Taurus,Argentina,Meat,Dairy,—,—
Argentine Friesian,—,Argentina,—,Dairy,—,—
Armorican,Taurus,France,Meat,Dairy,—,—
Arouquesa,Taurus,Portugal,Meat,Dairy,—,—
Arsi,—,Ethiopia,—,—,—,—
Asturian Mountain,Taurus,Spain,Meat,Dairy,—,—
Asturian Valley,Taurus,Spain,Meat,Dairy,—,—
Aubrac,Taurus,France,Meat,Dairy,—,—
Aulie-Ata,Taurus,Kazakhstan,—,Dairy,—,—
Aure et Saint-Girons,Taurus,France,Meat,Dairy,Draught,—
Australian Braford,Taurus/Indicus hybrid,Australia,Meat,—,—,—
Australian Brangus,Taurus/Indicus hybrid,Australia,Meat,—,—,—
Australian Charbray,Taurus/Indicus hybrid,Australia,Meat,—,—,—
Australian Friesian Sahiwal,Taurus/Indicus hybrid,Australia,—,Dairy,—,—
Australian Lowline,Taurus,Australia,Meat,—,—,—
Australian Milking Zebu,Taurus/Indicus hybrid,Australia,—,Dairy,—,—
Australian Shorthorn,—,Australia,Meat,—,—,—
Austrian Simmental,—,Austria,—,—,—,—
Austrian Yellow,—,Austria,—,—,—,—
Avétonou,—,Togo,—,—,—,—
Avileña-Negra Ibérica,—,Spain,—,—,—,—
Aweil Dinka,—,South Sudan,—,—,—,—
Ayrshire,Taurus,Scotland,—,Dairy,—,—
Azaouak,—,Mali,—,—,—,—
