"Country","ISO3","Specie","Breed/Most common name","Language","Description","Transboundary name","Other name","Breed classification (adaptedness)","Breed classification (geographic)","Provision Uses","Regulation and Maintenance Uses","Cultural Uses","Description Of Specific Uses","Production environment/management systems","Literature related to uses and ecosystem services","Additional information","Additional information comments","Efabis cultural role comment","Efabis cultural value","Adaptability to specific environment","Specific resistance or tolerance","Specific reproductive characteristic","Special characteristic of product","Other special qualities","Reference for special qualities","Efabis genetic features","Efabis environmental role","Efabis adaptability to marginal land","Body conformation","Coat description","Coat quality","Comb type","Skin colour","Shank and foot colour","Plumage colour","Pattern within feather","Avian classification","Egg shell colour","Color comments","Efabis main colour","Efabis skin colour","Number of horns males","Number of horns females","Horn shape size and comments","Wither height males","Wither height females","Weight males","Weight females","Other specific visible traits","Herdbook","Herdbook established","Domestication status","Taxonomic classification","Description of origin","Year of origin","Import","Location within country","Eggs per year AVG","Eggs per year MIN","Eggs per year MAX","Egg weight","Wool or hair","Wool type","Fleece weight AVG","Fleece weight MIN","Fleece weight MAX","Fibre diam","Management system","Feeding of adults","Mobility","Milk per year AVG","Milk per year MIN","Milk per year MAX","Lactation length (day) AVG","Lactation length (day) MIN","Lactation length (day) MAX","Milk yield per lactation (kg) AVG","Milk yield per lactation (kg) MIN","Milk yield per lactation (kg) MAX","Milk fat AVG (%)","Milk fat MIN (%)","Milk fat MAX (%)","Milk per day (kg)","Number of lactations","Efabis milk protein AVG","Efabis milk protein MIN","Efabis milk protein MAX","Birth weight males","Birth weight females","Age maturity males","Age maturity females","Age breeding males","Age breeding females","Age first parturition (month) AVG","Age first parturition (month) MIN","Age first parturition (month) MAX","Parturition interval (day) AVG","Parturition interval (day) MIN","Parturition interval (day) MAX","Length productive life (years)","Daily gain","Carcass weight (kg)","Dressing percentage (%)","Performance data reference","Management conditions performance measured","Comments management conditions","Additional performance parameters","Litter size AVG","Litter size MIN","Litter size MAX","Local cryo conservation status","Local Risk","Detailed local risk status","Regional Transboundary Risk (detailed)","International Transboundary Risk (detailed)","A breeding programme is implemented for the breed","Animal identification","Breeding goal defined","Performance recording","Pedigree recording","Genetic evaluation (classic approach)","Genetic evaluation including genomic information","Management of genetic variation","Artificial insemination","Breeding method applied"
"Angola","AGO","Pig","Duroc","fr.","","Duroc","","","International","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","continually imported","","","Huíla and Namibe province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Angola","AGO","Pig","Ganda","","","","","","Local","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","recently imported; some cross-breeding was done to obtain the Ganda breed I,II and III for industrial production and adapted to the local conditions. However, because of civil unrest these works were suspended and the obtained breeds are now at risk of genetic erosion","","","country-wide and at the Humpata Zoo-technical Station","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","commercial sector","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Angola","AGO","Pig","Jambona Munhanda","","","","","","Local","Meat","","","","","","","","","","","relatively resistant to African swine fever","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","indigenous breed","","","Kunene province, both in rural areas as well as in peri-urban areas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","this breed has the capacity to feed on scraps in the outskirts and litter dumps some supplements are given like bran and crop remains","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Angola","AGO","Pig","Landrace","","","Landrace","","","International","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","continually imported","","","Huíla and Luanda province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Angola","AGO","Pig","Large White","eng.","","Large White","","","International","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","continually imported","","","Huíla and Luanda province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Angola","AGO","Pig","Porco do Bengo","","","","Suína do Bengo/Luanda, Suíno do Bengo","","Local","Meat","","","","","","","","","","","relatively resistant to African swine fever","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","indigenous breed","","","Luanda and Bengo province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","this breed has the capacity to eat scraps in the outskirts and litter dumps some supplements are given like bran and crop remains","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Angola","AGO","Pig","Porco do Kunene","","","","Suíno do Kunene","","Local","Meat","","","","","","","","","","","relatively resistant to African swine fever","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","indigenous breed","","","Kunene, Huíla and Namibe province, both in rural areas as well as in peri-urban areas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","this breed has the capacity to feed on scraps in the outskirts and litter dumps some supplements are given like bran and crop remains","","","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Albania","ALB","Pig","Comune","alb.","","","Common","Native","Local","Meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","uni coloured: brown","","","","","","61","53","165","145","","","","Domestic","Breed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02","0.95","","","","","","","","","","","","","","","","","","","6.4","","","No Information","Unknown","Unknown","","","","","","","","","","","",""
"Albania","ALB","Pig","Durok","","","Duroc","","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","recently imported; exotic","2002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Albania","ALB","Pig","Kahyb","","","Kahyb","","","Regional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","First introduced during the last 50 years and continually imported.","1960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","Unknown","","","","","","","","","","",""
"Albania","ALB","Pig","Landras","","","Landrace","","","International","","","","","","","Large White and Landras are the most commen breeds.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","continuously imported; exotic","1950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Albania","ALB","Pig","Large White","eng.","","Large White","","","International","Meat","","","","","","Large White and Landras are the most common breeds.","","","","Adapted to harsh field conditions.","","","","","","","","","","","","","","","","","","","uni coloured: white","","","","","","65","57","240","160","small, erect ears","","","Domestic","Breed","continuously imported","1950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.23","1.18","","","","","","","","","","","","","","","","","","","9.15","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Albania","ALB","Pig","Local pig","","","","","","Local","","","","","","","","","","","","","","","The local pig had the same characteristics as the wild one.","","","","","","","","","","","","","","","","","","","","","","","75","110","small body","","","","Breed","indigenous breed","","","north and at the coastal area from Shkodra to Vlora, especially in the areas under the catholic and orthodox religion.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The information dates from 1993.","6","5","7","No Information","Extinct","Extinct","","","","","","","","","","","",""
"Albania","ALB","Pig","Pietren","","","Pietrain","Pietrain","","International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domestic","Breed","First introduced during the last 50 years and continually imported.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Information","Unknown","Unknown","","Not at Risk","","","","","","","","","",""
"Argentina","ARG","Pig","Cerdo Criollo Costero","Español","","","","Locally adapted","Local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n","","Feral","Breed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Material","Unknown","Unknown","","","No","","","","","","","","",""
