"Country","ISO3","Specie","Breed/Most common name","Year","dna samples","dna donors total","dna donors males","dna donors females","embryos samples","embryos donors total","embryos donors males","embryos donors females","somatic cells samples","somatic cells donors total","somatic cells donors males","somatic cells donors females","semen samples","semen donors males","oocytes samples","oocytes donors females","sufficient","organisation","collected by","Geographical classification","Last update"
"Argentina","ARG","Pig","Cerdo Criollo Costero","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Austria","AUT","Pig","Duroc","2020","","","","","0","0","0","0","0","0","0","0","160","4","0","0","","ÖNGENE","AREC Raumberg-Gumpenstein","International","16-Sept-2020"
"Austria","AUT","Pig","Edelschwein","2008","4","1","0","1","","0","","0","","0","0","0","","0","","0","","","","International",""
"Austria","AUT","Pig","Edelschwein","2009","4","1","0","1","","0","","0","","0","0","0","","0","","0","","","","International",""
"Austria","AUT","Pig","Edelschwein","2010","4","1","0","1","","0","","0","","0","0","0","","0","","0","","","","International",""
"Austria","AUT","Pig","Edelschwein","2011","4","1","0","1","","0","","0","","0","0","0","","0","","0","","","","International",""
"Austria","AUT","Pig","Edelschwein","2012","4","1","0","1","","0","","0","","0","0","0","","0","","0","","","","International",""
"Austria","AUT","Pig","Edelschwein","2013","4","1","0","1","","0","","0","","0","0","0","","0","","0","","","","International",""
"Austria","AUT","Pig","Edelschwein","2014","4","1","0","1","","0","","0","","0","0","0","","0","","0","","","","International",""
"Austria","AUT","Pig","Edelschwein","2015","4","1","0","1","","0","","0","","0","0","0","","0","","0","","","","International",""
"Austria","AUT","Pig","Edelschwein","2020","","","","","0","0","0","0","0","0","0","0","320","8","0","0","","ÖNGENE","AREC Raumberg-Gumpenstein","International","16-Sept-2020"
"Austria","AUT","Pig","Landrasse","2020","","","","","0","0","0","0","0","0","0","0","360","9","0","0","","ÖNGENE","AREC Raumberg-Gumpenstein","International","16-Sept-2020"
"Austria","AUT","Pig","Mangalitza","2020","","","","","0","0","0","0","0","0","0","0","280","7","0","0","","ÖNGENE","AREC Raumberg-Gumpenstein","International","16-Sept-2020"
"Austria","AUT","Pig","Pietrain","2020","","","","","0","0","0","0","0","0","0","0","1040","26","0","0","","ÖNGENE","AREC Raumberg-Gumpenstein","International","16-Sept-2020"
"Austria","AUT","Pig","Schwäbisch-Hällisches Schwein","2020","","","","","0","0","0","0","0","0","0","0","120","3","0","0","","ÖNGENE","AREC Raumberg-Gumpenstein","Local","16-Sept-2020"
"Austria","AUT","Pig","Turopolje","2010","0","0","0","0","","0","","0","","0","0","0","","0","","0","","","","Regional",""
"Austria","AUT","Pig","Turopolje","2011","0","0","0","0","","0","","0","","0","0","0","","0","","0","","","","Regional",""
"Austria","AUT","Pig","Turopolje","2012","0","0","0","0","","0","","0","","0","0","0","","0","","0","","","","Regional",""
"Austria","AUT","Pig","Turopolje","2013","4","1","1","0","","0","","0","","0","0","0","","0","","0","","","","Regional",""
"Austria","AUT","Pig","Turopolje","2014","4","1","1","0","","0","","0","","0","0","0","","0","","0","","","","Regional",""
"Austria","AUT","Pig","Turopolje","2015","4","1","1","0","","0","","0","","0","0","0","","0","","0","","","","Regional",""
"Austria","AUT","Pig","Turopolje","2020","","","","","0","0","0","0","0","0","0","0","440","11","0","0","","ÖNGENE","AREC Raumberg-Gumpenstein","Regional","16-Sept-2020"
"Austria","AUT","Pig","Weißer Belgier","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Azerbaijan","AZE","Pig","Ukrainian Steppe White","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Burundi","BDI","Pig","Landrace","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Burundi","BDI","Pig","Large White","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Burundi","BDI","Pig","porc local","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Benin","BEN","Pig","Land Race","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Benin","BEN","Pig","Large White","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Benin","BEN","Pig","Local Pig of Benin","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Benin","BEN","Pig","Meishan","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Benin","BEN","Pig","local africain","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Burkina Faso","BFA","Pig","Korogho","2021","","","","","","","","","","","","","","","","","","","","Regional","2-Feb-2021"
"Brazil","BRA","Pig","Berkshire","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","International","10/11/2022"
"Brazil","BRA","Pig","Canastra","2022","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","Local","10/11/2022"
