"Country","ISO3","Specie","Breed/Most common name","Year","Population min","Population max","Trend","Population figured based on","Breeding male","Breeding female","Females registered in herdbooks","Females bred pure","Herds","Herds size (avg)","AI used","Male in AI","In situ conservation programmes in place","Reliability","Last update","Geographical classification"
"Albania","ALB","Pig","Comune","1994","1750","1750","stable","","20","230","","100","","","","","no","unknown","28 Feb 2006","Local"
"Albania","ALB","Pig","Large White","1992","680","","decreasing","","50","630","","90","","","","","no","unknown","1 Mar 2006","International"
"Albania","ALB","Pig","Large White","1994","10762","10762","increasing","","71","1273","","100","","","","","no","unknown","28 Feb 2006","International"
"Albania","ALB","Pig","Large White","1996","4400","","increasing","","400","4000","1000","50","","","","","no","unknown","1 Mar 2006","International"
"Albania","ALB","Pig","Local pig","2000","0","0","unknown","","","","","","","","","","","unknown","28 Feb 2006","Local"
"Armenia","ARM","Pig","Forest Mountain","1964","7000","7000","unknown","","","","","","","","","","","unknown","28 Feb 2006","Local"
"Armenia","ARM","Pig","Forest Mountain","1969","14000","14000","unknown","","","","","","","","","","","unknown","28 Feb 2006","Local"
"Armenia","ARM","Pig","Forest Mountain","1974","2000","2000","unknown","","","","","","","","","","","unknown","28 Feb 2006","Local"
"Armenia","ARM","Pig","Forest Mountain","1980","579","579","decreasing","","16","75","","100","","","","","","unknown","1 Mar 2006","Local"
"Australia","AUS","Pig","Berkshire","1980","832","832","","","","","","","55","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Berkshire","1991","137","137","","","","","","","15","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Berkshire","2004","200","","unknown","","","200","","","","","","","","unknown","28 Feb 2006","International"
"Australia","AUS","Pig","Berkshire","2005","70","70","","","","","","","10","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Berkshire","2006","68","68","","","","","","","10","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Berkshire","2007","58","58","","","","","","","7","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Berkshire","2008","89","89","","","","","","","7","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Berkshire","2009","108","108","","","","","","","10","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Berkshire","2010","98","98","","","","","","","","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Berkshire","2011","99","99","","","","","","","15","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Berkshire","2022","250","250","","","","","","","","","","","","reliable","2/11/2022","International"
"Australia","AUS","Pig","Duroc","1985","309","309","","","","","","","20","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Duroc","1991","150","150","","","","","","","25","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Duroc","2004","34","350","unknown","","","","","","5","","","","","unknown","23 Apr 2012","International"
"Australia","AUS","Pig","Duroc","2005","12","12","unknown","","","","","","2","","","","","unknown","23 Apr 2012","International"
"Australia","AUS","Pig","Duroc","2008","3","3","unknown","","","","","","1","","","","","unknown","23 Apr 2012","International"
"Australia","AUS","Pig","Duroc","2010","8","8","unknown","","","","","","","","","","","unknown","23 Apr 2012","International"
"Australia","AUS","Pig","Duroc","2011","8","8","unknown","","","","","","2","","","","","unknown","23 Apr 2012","International"
"Australia","AUS","Pig","Duroc","2022","150","150","","","","","","","","","","","","reliable","2/11/2022","International"
"Australia","AUS","Pig","Hampshire","1985","39","39","","","","","","","7","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Hampshire","1991","144","144","","","","","","","18","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Hampshire","2004","33","320","unknown","","","","","","3","","","","","unknown","23 Apr 2012","International"
"Australia","AUS","Pig","Hampshire","2006","11","11","","","","","","","3","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Hampshire","2007","2","2","","","","","","","2","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Hampshire","2008","1","1","","","","","","","1","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Hampshire","2010","6","6","","","","","","","","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Hampshire","2011","6","6","","","","","","","2","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Hampshire","2022","150","150","","","","","","","","","","","","reliable","2/11/2022","International"
"Australia","AUS","Pig","Landrace","1994","401","401","","","","","","","34","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Landrace","2004","114","350","unknown","","","","","","12","","","","","unknown","23 Apr 2012","International"
"Australia","AUS","Pig","Landrace","2005","14","14","","","","","","","6","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Landrace","2006","49","49","","","","","","","4","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Landrace","2007","9","9","","","","","","","3","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Landrace","2008","108","108","","","","","","","9","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Landrace","2009","29","29","","","","","","","6","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Landrace","2010","70","70","","","","","","","","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Landrace","2011","71","71","","","","","","","8","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Landrace","2022","250","250","","","","","","","","","","","","reliable","2/11/2022","International"
"Australia","AUS","Pig","Large Black","1980","15","15","","","","","","","3","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Large Black","1991","29","29","","","","","","","3","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Large Black","2004","37","70","unknown","","","","","","3","","","","","unknown","23 Apr 2012","International"
"Australia","AUS","Pig","Large Black","2005","29","29","","","","","","","3","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Large Black","2006","24","24","","","","","","","4","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Large Black","2007","31","31","","","","","","","3","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Large Black","2008","15","15","","","","","","","1","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Large Black","2009","8","8","","","","","","","2","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Large Black","2010","50","50","","","","","","","","","","","","","23 Apr 2012","International"
"Australia","AUS","Pig","Large Black","2011","50","50","","","","","","","8","","","","","","23 Apr 2012","International"
